"is_enabled","description","setting_value","setting_key","id","created_date","updated_date","created_by_id","created_by","is_sample"
"true","","https://base44.app/api/apps/69c78a963cd6683d792802fb/files/mp/public/69c78a963cd6683d792802fb/1029b7c1d_Screenshot2026-05-04172431.png","banner_3","69f889b9617e2f8beab488d5","2026-05-04T11:57:45.721000","2026-05-04T11:57:45.721000","anonymous","anonymous","false"
"true","","https://base44.app/api/apps/69c78a963cd6683d792802fb/files/mp/public/69c78a963cd6683d792802fb/79ab251dc_Screenshot2026-05-04172416.png","banner_2","69f889b0f59b23172fb15c00","2026-05-04T11:57:36.192000","2026-05-04T11:57:36.192000","anonymous","anonymous","false"
"true","","https://base44.app/api/apps/69c78a963cd6683d792802fb/files/mp/public/69c78a963cd6683d792802fb/3a62073c6_Screenshot2026-05-04172707.png","banner_1","69e3a5d8d9761e3f08fc763d","2026-04-18T15:40:08.164000","2026-05-04T11:57:28.317000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
"true","","orange","homepage_announcement_color","69e3a5c43466682e794a007f","2026-04-18T15:39:48.539000","2026-04-18T15:39:48.539000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
"true","","Portal has been updated","homepage_announcement","69e3a5ba8fc3611fcf6ed418","2026-04-18T15:39:38.773000","2026-04-18T15:54:32.265000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
"true","","[{""title"":""Earning Proof"",""url"":""https://drive.google.com/file/d/17FLZiJbzPWndzUbIo4NhRM3M-LghjCaP/view?usp=drive_link"",""description"":""""}]","earning_proof_images","69d3949e8d2ae42ad97e159f","2026-04-06T11:10:22.410000","2026-04-06T11:10:22.410000","anonymous","anonymous","false"
"true","Support tickets demo video","https://drive.google.com/file/d/1dZFxC8738JQCdWHPLbRMUH4LOmNZmv35/view?usp=drive_link","support_tickets_video","69d2536ef449979bc26afa40","2026-04-05T12:19:58.730000","2026-04-05T12:19:58.730000","anonymous","anonymous","false"
"true","Task history help video","https://drive.google.com/file/d/1j6N43XnDAK8B1q9y5td9Xtx1hI44hrH_/view?usp=drive_link","task_history_video","69d2535202a5bdb735e32ff5","2026-04-05T12:19:30.314000","2026-04-05T12:19:30.314000","anonymous","anonymous","false"
"true","How to submit task video","https://drive.google.com/file/d/10vgYiNtA9xJPoQ8RitHnukIrAGDRjx64/view?usp=drive_link","submit_task_video","69d25319418b3018c9b45b9c","2026-04-05T12:18:33.585000","2026-04-05T12:18:33.585000","anonymous","anonymous","false"
"true","","false","platform_off_enabled","69d1d332afca37c97698f036","2026-04-05T03:12:50.481000","2026-05-11T01:56:24.018000","anonymous","anonymous","false"
"true","","
Sunday Holiday! No tasks today. Enjoy your rest day!","platform_off_message","69d1d32d5e8ab01611dca440","2026-04-05T03:12:45.895000","2026-05-10T03:25:04.336000","anonymous","anonymous","false"
"true","","razorpay.me/@WorkDen","payment_upi","69ce0c1cbe8ed377f95e14b5","2026-04-02T06:26:36.809000","2026-04-02T06:26:36.809000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
"true","","[{""title"":""Earning Proof"",""url"":""https://drive.google.com/file/d/1TfgX3JHS3dr-aoNM6MfVNFzdTiqe4zDy/view?usp=drive_link"",""description"":""""},{""title"":""Earning Proof"",""url"":""https://drive.google.com/file/d/1WOQP62KcC0EeVufQl4mCDrKK-K7cxNT3/view?usp=drive_link"",""description"":""""},{""title"":""Earning Proof"",""url"":""https://drive.google.com/file/d/1H8ziVfY7GlJMd5SQ3nTwVhNhWx2p2czl/view?usp=drive_link"",""description"":""""},{""title"":""Earning Proof"",""url"":""https://drive.google.com/file/d/1uSjJiSWYrCn3FMXpJSXpfl4n3Hk3PNch/view?usp=drive_link"",""description"":""""},{""title"":""Earning proof"",""url"":""https://drive.google.com/file/d/1gCnbQb8TZetJpcCaXn2i6_r8Jp-_9ciL/view?usp=drive_link"",""description"":""""}]","earning_proof_videos","69ce09ce6ab65057952f52d5","2026-04-02T06:16:46.134000","2026-04-02T06:18:53.276000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
"true","Referral Partner page video link","https://drive.google.com/file/d/1-5_pwwR325dvpB2B146SBO68dRd6oMHy/view?usp=drive_link","referral_partner_video","69ce0925166a29180e1e6a83","2026-04-02T06:13:57.722000","2026-04-02T06:13:57.722000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
"true","Home page tutorial video link","https://drive.google.com/file/d/18K_IbR8BBMroWYcAjs2WmGW3ZSaZ5-ZO/view?usp=drive_link","tutorial_video","69ce090604779c6329ca7907","2026-04-02T06:13:26.389000","2026-04-02T06:13:26.389000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
"true","","https://base44.app/api/apps/69c78a963cd6683d792802fb/files/mp/public/69c78a963cd6683d792802fb/e09856cdb_QrCode41.jpeg","payment_qr","69cd03a7b0dea2f894d3902f","2026-04-01T11:38:15.975000","2026-04-02T06:25:26.378000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
